datetime,TT_10,RF_10
2023-12-25 00:00:00+01:00,10.90,74.10
2023-12-25 00:15:00+01:00,10.90,74.50
2023-12-25 00:30:00+01:00,10.90,74.90
2023-12-25 00:45:00+01:00,10.90,74.95
2023-12-25 01:00:00+01:00,10.90,75.00
2023-12-25 01:15:00+01:00,10.95,75.10
2023-12-25 01:30:00+01:00,11.00,75.20
2023-12-25 01:45:00+01:00,11.00,75.45
2023-12-25 02:00:00+01:00,11.00,75.70
2023-12-25 02:15:00+01:00,11.00,76.10
2023-12-25 02:30:00+01:00,11.00,76.50
2023-12-25 02:45:00+01:00,10.95,77.20
2023-12-25 03:00:00+01:00,10.90,77.90
2023-12-25 03:15:00+01:00,10.90,78.00
2023-12-25 03:30:00+01:00,10.90,78.10
2023-12-25 03:45:00+01:00,10.80,78.80
2023-12-25 04:00:00+01:00,10.70,79.50
2023-12-25 04:15:00+01:00,10.70,79.60
2023-12-25 04:30:00+01:00,10.70,79.70
2023-12-25 04:45:00+01:00,10.65,80.05
2023-12-25 05:00:00+01:00,10.60,80.40
2023-12-25 05:15:00+01:00,10.60,80.25
2023-12-25 05:30:00+01:00,10.60,80.10
2023-12-25 05:45:00+01:00,10.10,83.95
2023-12-25 06:00:00+01:00,9.60,87.80
2023-12-25 06:15:00+01:00,9.70,88.05
2023-12-25 06:30:00+01:00,9.80,88.30
2023-12-25 06:45:00+01:00,9.60,90.40
2023-12-25 07:00:00+01:00,9.40,92.50
2023-12-25 07:15:00+01:00,9.35,92.55
2023-12-25 07:30:00+01:00,9.30,92.60
2023-12-25 07:45:00+01:00,9.30,92.40
2023-12-25 08:00:00+01:00,9.30,92.20
2023-12-25 08:15:00+01:00,9.40,91.35
2023-12-25 08:30:00+01:00,9.50,90.50
2023-12-25 08:45:00+01:00,9.60,88.95
2023-12-25 09:00:00+01:00,9.70,87.40
2023-12-25 09:15:00+01:00,9.85,86.25
2023-12-25 09:30:00+01:00,10.00,85.10
2023-12-25 09:45:00+01:00,10.15,83.95
2023-12-25 10:00:00+01:00,10.30,82.80
2023-12-25 10:15:00+01:00,10.40,82.00
2023-12-25 10:30:00+01:00,10.50,81.20
2023-12-25 10:45:00+01:00,10.55,81.00
2023-12-25 11:00:00+01:00,10.60,80.80
