datetime,TT_10,RF_10
2023-12-25 00:00:00+01:00,6.50,100.00
2023-12-25 00:15:00+01:00,6.50,100.00
2023-12-25 00:30:00+01:00,6.50,100.00
2023-12-25 00:45:00+01:00,6.45,100.00
2023-12-25 01:00:00+01:00,6.40,100.00
2023-12-25 01:15:00+01:00,6.40,100.00
2023-12-25 01:30:00+01:00,6.40,100.00
2023-12-25 01:45:00+01:00,6.40,100.00
2023-12-25 02:00:00+01:00,6.40,100.00
2023-12-25 02:15:00+01:00,6.40,100.00
2023-12-25 02:30:00+01:00,6.40,100.00
2023-12-25 02:45:00+01:00,6.40,100.00
2023-12-25 03:00:00+01:00,6.40,100.00
2023-12-25 03:15:00+01:00,6.40,100.00
2023-12-25 03:30:00+01:00,6.40,100.00
2023-12-25 03:45:00+01:00,6.40,100.00
2023-12-25 04:00:00+01:00,6.40,100.00
2023-12-25 04:15:00+01:00,6.40,100.00
2023-12-25 04:30:00+01:00,6.40,100.00
2023-12-25 04:45:00+01:00,6.30,100.00
2023-12-25 05:00:00+01:00,6.20,100.00
2023-12-25 05:15:00+01:00,6.20,100.00
2023-12-25 05:30:00+01:00,6.20,100.00
2023-12-25 05:45:00+01:00,6.30,100.00
2023-12-25 06:00:00+01:00,6.40,100.00
2023-12-25 06:15:00+01:00,6.45,100.00
2023-12-25 06:30:00+01:00,6.50,100.00
2023-12-25 06:45:00+01:00,6.45,100.00
2023-12-25 07:00:00+01:00,6.40,100.00
2023-12-25 07:15:00+01:00,6.40,100.00
2023-12-25 07:30:00+01:00,6.40,100.00
2023-12-25 07:45:00+01:00,6.40,99.95
2023-12-25 08:00:00+01:00,6.40,99.90
2023-12-25 08:15:00+01:00,6.40,99.95
2023-12-25 08:30:00+01:00,6.40,100.00
2023-12-25 08:45:00+01:00,6.45,100.00
2023-12-25 09:00:00+01:00,6.50,100.00
2023-12-25 09:15:00+01:00,6.50,100.00
2023-12-25 09:30:00+01:00,6.50,100.00
2023-12-25 09:45:00+01:00,6.50,100.00
2023-12-25 10:00:00+01:00,6.50,100.00
2023-12-25 10:15:00+01:00,6.55,100.00
2023-12-25 10:30:00+01:00,6.60,100.00
2023-12-25 10:45:00+01:00,6.65,100.00
2023-12-25 11:00:00+01:00,6.70,100.00
2023-12-25 11:15:00+01:00,6.70,100.00
2023-12-25 11:30:00+01:00,6.70,100.00
2023-12-25 11:45:00+01:00,6.75,100.00
2023-12-25 12:00:00+01:00,6.80,100.00
2023-12-25 12:15:00+01:00,6.80,100.00
2023-12-25 12:30:00+01:00,6.80,100.00
2023-12-25 12:45:00+01:00,6.85,100.00
2023-12-25 13:00:00+01:00,6.90,100.00
2023-12-25 13:15:00+01:00,6.90,100.00
2023-12-25 13:30:00+01:00,6.90,100.00
2023-12-25 13:45:00+01:00,6.90,100.00
2023-12-25 14:00:00+01:00,6.90,100.00
2023-12-25 14:15:00+01:00,6.90,100.00
2023-12-25 14:30:00+01:00,6.90,100.00
2023-12-25 14:45:00+01:00,6.90,100.00
2023-12-25 15:00:00+01:00,6.90,100.00
2023-12-25 15:15:00+01:00,6.90,100.00
2023-12-25 15:30:00+01:00,6.90,100.00
2023-12-25 15:45:00+01:00,6.90,100.00
2023-12-25 16:00:00+01:00,6.90,100.00
2023-12-25 16:15:00+01:00,6.90,100.00
2023-12-25 16:30:00+01:00,6.90,100.00
2023-12-25 16:45:00+01:00,6.90,100.00
2023-12-25 17:00:00+01:00,6.90,100.00
2023-12-25 17:15:00+01:00,6.90,100.00
2023-12-25 17:30:00+01:00,6.90,100.00
2023-12-25 17:45:00+01:00,6.90,100.00
2023-12-25 18:00:00+01:00,6.90,100.00
2023-12-25 18:15:00+01:00,6.85,100.00
2023-12-25 18:30:00+01:00,6.80,100.00
2023-12-25 18:45:00+01:00,6.75,100.00
2023-12-25 19:00:00+01:00,6.70,100.00
2023-12-25 19:15:00+01:00,6.65,99.95
2023-12-25 19:30:00+01:00,6.60,99.90
2023-12-25 19:45:00+01:00,6.55,99.95
2023-12-25 20:00:00+01:00,6.50,100.00
2023-12-25 20:15:00+01:00,6.45,100.00
2023-12-25 20:30:00+01:00,6.40,100.00
2023-12-25 20:45:00+01:00,6.40,100.00
2023-12-25 21:00:00+01:00,6.40,100.00
2023-12-25 21:15:00+01:00,6.35,100.00
2023-12-25 21:30:00+01:00,6.30,100.00
2023-12-25 21:45:00+01:00,6.30,100.00
2023-12-25 22:00:00+01:00,6.30,100.00
2023-12-25 22:15:00+01:00,6.25,100.00
2023-12-25 22:30:00+01:00,6.20,100.00
2023-12-25 22:45:00+01:00,6.20,99.95
2023-12-25 23:00:00+01:00,6.20,99.90
2023-12-25 23:15:00+01:00,6.15,99.95
2023-12-25 23:30:00+01:00,6.10,100.00
2023-12-25 23:45:00+01:00,6.10,99.90
2023-12-26 00:00:00+01:00,6.10,99.80
2023-12-26 00:15:00+01:00,6.10,99.80
2023-12-26 00:30:00+01:00,6.10,99.80
2023-12-26 00:45:00+01:00,6.05,99.90
2023-12-26 01:00:00+01:00,6.00,100.00
2023-12-26 01:15:00+01:00,5.95,100.00
2023-12-26 01:30:00+01:00,5.90,100.00
2023-12-26 01:45:00+01:00,5.80,99.85
2023-12-26 02:00:00+01:00,5.70,99.70
2023-12-26 02:15:00+01:00,5.45,99.55
2023-12-26 02:30:00+01:00,5.20,99.40
2023-12-26 02:45:00+01:00,5.15,99.70
2023-12-26 03:00:00+01:00,5.10,100.00
2023-12-26 03:15:00+01:00,5.05,99.90
2023-12-26 03:30:00+01:00,5.00,99.80
2023-12-26 03:45:00+01:00,4.95,99.90
2023-12-26 04:00:00+01:00,4.90,100.00
2023-12-26 04:15:00+01:00,4.90,99.95
2023-12-26 04:30:00+01:00,4.90,99.90
2023-12-26 04:45:00+01:00,4.95,99.95
2023-12-26 05:00:00+01:00,5.00,100.00
2023-12-26 05:15:00+01:00,5.00,99.90
2023-12-26 05:30:00+01:00,5.00,99.80
2023-12-26 05:45:00+01:00,5.00,99.80
2023-12-26 06:00:00+01:00,5.00,99.80
2023-12-26 06:15:00+01:00,5.00,99.85
2023-12-26 06:30:00+01:00,5.00,99.90
2023-12-26 06:45:00+01:00,4.80,99.75
2023-12-26 07:00:00+01:00,4.60,99.60
2023-12-26 07:15:00+01:00,4.35,99.45
2023-12-26 07:30:00+01:00,4.10,99.30
2023-12-26 07:45:00+01:00,4.10,99.50
2023-12-26 08:00:00+01:00,4.10,99.70
2023-12-26 08:15:00+01:00,3.95,99.10
2023-12-26 08:30:00+01:00,3.80,98.50
2023-12-26 08:45:00+01:00,3.65,98.70
2023-12-26 09:00:00+01:00,3.50,98.90
2023-12-26 09:15:00+01:00,3.45,98.25
2023-12-26 09:30:00+01:00,3.40,97.60
2023-12-26 09:45:00+01:00,3.40,97.85
2023-12-26 10:00:00+01:00,3.40,98.10
2023-12-26 10:15:00+01:00,3.30,97.95
2023-12-26 10:30:00+01:00,3.20,97.80
