datetime,TT_10,RF_10
2023-12-25 00:00:00+01:00,11.80,80.20
2023-12-25 00:15:00+01:00,11.80,80.05
2023-12-25 00:30:00+01:00,11.80,79.90
2023-12-25 00:45:00+01:00,11.85,79.70
2023-12-25 01:00:00+01:00,11.90,79.50
2023-12-25 01:15:00+01:00,12.10,78.10
2023-12-25 01:30:00+01:00,12.30,76.70
2023-12-25 01:45:00+01:00,12.35,76.35
2023-12-25 02:00:00+01:00,12.40,76.00
2023-12-25 02:15:00+01:00,12.35,76.50
2023-12-25 02:30:00+01:00,12.30,77.00
2023-12-25 02:45:00+01:00,12.25,77.55
2023-12-25 03:00:00+01:00,12.20,78.10
2023-12-25 03:15:00+01:00,12.25,77.90
2023-12-25 03:30:00+01:00,12.30,77.70
2023-12-25 03:45:00+01:00,12.20,78.85
2023-12-25 04:00:00+01:00,12.10,80.00
2023-12-25 04:15:00+01:00,12.00,81.15
2023-12-25 04:30:00+01:00,11.90,82.30
2023-12-25 04:45:00+01:00,12.05,80.80
2023-12-25 05:00:00+01:00,12.20,79.30
2023-12-25 05:15:00+01:00,12.05,80.55
2023-12-25 05:30:00+01:00,11.90,81.80
2023-12-25 05:45:00+01:00,11.55,84.50
2023-12-25 06:00:00+01:00,11.20,87.20
2023-12-25 06:15:00+01:00,11.10,88.40
2023-12-25 06:30:00+01:00,11.00,89.60
2023-12-25 06:45:00+01:00,10.90,90.25
2023-12-25 07:00:00+01:00,10.80,90.90
2023-12-25 07:15:00+01:00,10.75,91.10
2023-12-25 07:30:00+01:00,10.70,91.30
2023-12-25 07:45:00+01:00,10.80,90.75
2023-12-25 08:00:00+01:00,10.90,90.20
2023-12-25 08:15:00+01:00,10.95,89.90
2023-12-25 08:30:00+01:00,11.00,89.60
2023-12-25 08:45:00+01:00,11.10,88.50
2023-12-25 09:00:00+01:00,11.20,87.40
2023-12-25 09:15:00+01:00,11.60,84.95
2023-12-25 09:30:00+01:00,12.00,82.50
2023-12-25 09:45:00+01:00,12.05,82.25
2023-12-25 10:00:00+01:00,12.10,82.00
2023-12-25 10:15:00+01:00,12.10,81.65
2023-12-25 10:30:00+01:00,12.10,81.30
2023-12-25 10:45:00+01:00,12.20,81.15
2023-12-25 11:00:00+01:00,12.30,81.00
2023-12-25 11:15:00+01:00,12.45,80.30
